jobId,4x4,enqueued_time,started_working_time,finished_time
30761cf4-7484-4dd8-b8bf-4eb8ca9862ca,5k2z-suxx,2016-04-01T01:31:26.992-07:00,2016-04-01T01:31:27.352-07:00,2016-04-01T01:31:28.244-07:00
e54b5a40-d2c0-4178-ab8c-e5fc9d6d2a40,t2qc-9pjd,2016-04-09T12:03:26.420-07:00,2016-04-09T12:03:26.783-07:00,2016-04-09T12:03:28.995-07:00
37ce9df5-a9eb-41b9-9a94-56068330a58f,4i42-qv3h,2016-04-14T03:12:25.615-07:00,2016-04-14T03:12:25.890-07:00,2016-04-14T03:12:26.869-07:00
93e48350-5a9b-4303-97d7-47a3d30f86de,t2qc-9pjd,2016-04-25T00:33:24.775-07:00,2016-04-25T00:33:25.077-07:00,2016-04-25T00:33:26.926-07:00
fa0f78b6-eeda-4407-9f24-3219cf95c191,n4j6-wkkf,2016-03-30T19:48:28.775-07:00,2016-03-30T19:48:29.507-07:00,2016-03-30T19:48:32.246-07:00
0f13bcd9-fff8-4900-8b8d-11b8804c0e57,t2qc-9pjd,2016-04-15T08:18:29.652-07:00,2016-04-15T08:18:30.096-07:00,2016-04-15T08:18:32.111-07:00
01e68014-4a51-4a7e-bd2d-ece8d722c27c,n4j6-wkkf,2016-04-04T13:18:28.700-07:00,2016-04-04T13:18:29.010-07:00,2016-04-04T13:18:30.781-07:00
d781fddf-9da8-4060-8e26-dd08e7c23fc1,t2qc-9pjd,2016-04-16T11:03:26.992-07:00,2016-04-16T11:03:27.638-07:00,2016-04-16T11:03:29.434-07:00
713cd546-038e-44db-b898-16f160bcf67b,ygr5-vcbg,2016-04-23T10:01:25.878-07:00,2016-04-23T10:01:26.234-07:00,2016-04-23T10:01:28.087-07:00
f87955f1-2386-4e59-b728-990f1bd34a95,t2qc-9pjd,2016-04-20T23:48:27.147-07:00,2016-04-20T23:48:27.426-07:00,2016-04-20T23:48:29.474-07:00
c4dbcfb3-81fa-418d-8b56-cc45126db995,t2qc-9pjd,2016-04-01T10:48:30.406-07:00,2016-04-01T10:48:30.733-07:00,2016-04-01T10:48:32.758-07:00
5ab75691-5845-4edb-982a-872fcc430722,5k2z-suxx,2016-04-03T22:01:28.576-07:00,2016-04-03T22:01:28.959-07:00,2016-04-03T22:01:30.426-07:00
40970c32-127f-4fda-9703-54b10fabf6ff,ygr5-vcbg,2016-04-22T18:16:26.667-07:00,2016-04-22T18:16:27.106-07:00,2016-04-22T18:16:28.550-07:00
